"Bin ID","Dilution treatment","Assembly process","Relative importance","Relative importance (%)","Rank within group-process","Family","Phylum"
"Bin1","D0","DL",0.000251611057950386,0.0251611057950386,56,"LK-44f","Cloacimonadota"
"Bin1","D0","DR",0.00112728090887526,0.112728090887526,37,"LK-44f","Cloacimonadota"
"Bin1","D0","HoS",0,0,66,"LK-44f","Cloacimonadota"
"Bin1","D1","DL",0.0065443074504161,0.65443074504161,8,"LK-44f","Cloacimonadota"
"Bin1","D1","DR",0,0,102,"LK-44f","Cloacimonadota"
"Bin1","D1","HoS",0.000361735470699141,0.0361735470699141,49,"LK-44f","Cloacimonadota"
"Bin1","D3","DL",0,0,11,"LK-44f","Cloacimonadota"
"Bin1","D3","DR",1.85296281535271e-05,0.00185296281535271,63,"LK-44f","Cloacimonadota"
"Bin1","D3","HoS",4.5811455089469e-05,0.0045811455089469,44,"LK-44f","Cloacimonadota"
"Bin1","D5","DL",0,0,17,"LK-44f","Cloacimonadota"
"Bin1","D5","DR",7.83686826645655e-07,7.83686826645655e-05,81,"LK-44f","Cloacimonadota"
"Bin1","D5","HoS",1.60034655372669e-07,1.60034655372669e-05,65,"LK-44f","Cloacimonadota"
"Bin1","D6","DL",0,0,27,"LK-44f","Cloacimonadota"
"Bin1","D6","DR",9.35755565249544e-07,9.35755565249544e-05,83,"LK-44f","Cloacimonadota"
"Bin1","D6","HoS",3.77475084374218e-08,3.77475084374218e-06,82,"LK-44f","Cloacimonadota"
"Bin1","D7","DL",0,0,26,"LK-44f","Cloacimonadota"
"Bin1","D7","DR",0,0,95,"LK-44f","Cloacimonadota"
"Bin1","D7","HoS",0,0,73,"LK-44f","Cloacimonadota"
"Bin2","D0","DL",0,0,67,"MSBL8","Cloacimonadota"
"Bin2","D0","DR",0.000698476346017812,0.0698476346017812,53,"MSBL8","Cloacimonadota"
"Bin2","D0","HoS",2.3489768433079e-05,0.0023489768433079,55,"MSBL8","Cloacimonadota"
"Bin2","D1","DL",0.00707261613279214,0.707261613279214,7,"MSBL8","Cloacimonadota"
"Bin2","D1","DR",0.00053372970890887,0.053372970890887,32,"MSBL8","Cloacimonadota"
"Bin2","D1","HoS",0.00112677908036253,0.112677908036253,34,"MSBL8","Cloacimonadota"
"Bin2","D3","DL",0,0,11,"MSBL8","Cloacimonadota"
"Bin2","D3","DR",8.79099902837751e-06,0.000879099902837751,72,"MSBL8","Cloacimonadota"
"Bin2","D3","HoS",3.69845225719445e-06,0.000369845225719445,73,"MSBL8","Cloacimonadota"
"Bin2","D5","DL",0,0,17,"MSBL8","Cloacimonadota"
"Bin2","D5","DR",0,0,85,"MSBL8","Cloacimonadota"
"Bin2","D5","HoS",0,0,70,"MSBL8","Cloacimonadota"
"Bin2","D6","DL",0,0,27,"MSBL8","Cloacimonadota"
"Bin2","D6","DR",0,0,95,"MSBL8","Cloacimonadota"
"Bin2","D6","HoS",0,0,83,"MSBL8","Cloacimonadota"
"Bin2","D7","DL",0,0,26,"MSBL8","Cloacimonadota"
"Bin2","D7","DR",0,0,95,"MSBL8","Cloacimonadota"
"Bin2","D7","HoS",0,0,73,"MSBL8","Cloacimonadota"
"Bin3","D0","DL",0.000150398997764613,0.0150398997764613,59,"uncultured_bacterium","Nitrospirota"
"Bin3","D0","DR",0.000386382080614768,0.0386382080614768,69,"uncultured_bacterium","Nitrospirota"
"Bin3","D0","HoS",0,0,66,"uncultured_bacterium","Nitrospirota"
"Bin3","D1","DL",0.000646184723665198,0.0646184723665198,39,"uncultured_bacterium","Nitrospirota"
"Bin3","D1","DR",2.02562307411037e-05,0.00202562307411037,98,"uncultured_bacterium","Nitrospirota"
"Bin3","D1","HoS",2.68339707107438e-05,0.00268339707107438,66,"uncultured_bacterium","Nitrospirota"
"Bin3","D3","DL",0,0,11,"uncultured_bacterium","Nitrospirota"
"Bin3","D3","DR",2.2065208008969e-05,0.0022065208008969,58,"uncultured_bacterium","Nitrospirota"
"Bin3","D3","HoS",4.01663737305242e-06,0.000401663737305242,72,"uncultured_bacterium","Nitrospirota"
"Bin3","D5","DL",0,0,17,"uncultured_bacterium","Nitrospirota"
"Bin3","D5","DR",4.86061675536627e-06,0.000486061675536627,64,"uncultured_bacterium","Nitrospirota"
"Bin3","D5","HoS",1.87142742663403e-07,1.87142742663403e-05,64,"uncultured_bacterium","Nitrospirota"
"Bin3","D6","DL",0,0,27,"uncultured_bacterium","Nitrospirota"
"Bin3","D6","DR",0,0,95,"uncultured_bacterium","Nitrospirota"
"Bin3","D6","HoS",0,0,83,"uncultured_bacterium","Nitrospirota"
"Bin3","D7","DL",0,0,26,"uncultured_bacterium","Nitrospirota"
"Bin3","D7","DR",7.42015908821085e-07,7.42015908821085e-05,91,"uncultured_bacterium","Nitrospirota"
"Bin3","D7","HoS",0,0,73,"uncultured_bacterium","Nitrospirota"
"Bin4","D0","DL",0,0,67,"MSBL8","Cloacimonadota"
"Bin4","D0","DR",0,0,99,"MSBL8","Cloacimonadota"
"Bin4","D0","HoS",2.17523927349374e-05,0.00217523927349374,57,"MSBL8","Cloacimonadota"
"Bin4","D1","DL",0.000643286926764308,0.0643286926764308,40,"MSBL8","Cloacimonadota"
"Bin4","D1","DR",2.1616457204804e-05,0.0021616457204804,96,"MSBL8","Cloacimonadota"
"Bin4","D1","HoS",0.000768915337422864,0.0768915337422864,39,"MSBL8","Cloacimonadota"
"Bin4","D3","DL",0,0,11,"MSBL8","Cloacimonadota"
"Bin4","D3","DR",7.58609355140189e-06,0.000758609355140189,75,"MSBL8","Cloacimonadota"
"Bin4","D3","HoS",9.20667287548316e-07,9.20667287548316e-05,82,"MSBL8","Cloacimonadota"
"Bin4","D5","DL",0,0,17,"MSBL8","Cloacimonadota"
"Bin4","D5","DR",0,0,85,"MSBL8","Cloacimonadota"
